,id,name,review_count,rating,price_rank
12,HiJKNhBduILRlrWXrirxTg,Magic Cobra Tattoo Society,54,4.5,$$
13,5cW2iHGJYN_F4m3n7_GrDw,Oni Tattoo,12,5.0,$$
14,1i4KpsYWtT7ZHKf3G7Vl_Q,Whatever Tattoo,301,4.0,$$
15,XOHOP9OcKn8n05cSIBEfGQ,Rising Dragon Tattoos,196,4.5,$$
16,kN-fYbjke_dPg-FHzxzy0Q,Red Rocket Tattoo,173,4.5,$$
17,oBrNtG66Ti3RaK31lQLvJQ,All Wolves No Sheep Tattoo Parlour,41,5.0,$$
18,lRj30UgKEXHMYfmc35wlaA,Get Fat Brooklyn,27,5.0,$$$
19,zvl7_1OEcn5g4-lA49Pn2g,Crop Circles Tattoos,12,4.0,$$
20,Yy3UIIlf2awYIzohsKIBxA,Lucky Dog Tattoos,19,4.5,$$
21,4HDyhxtq_lq4las2eAecdw,Black Square Tattoo,28,5.0,$$
22,DzyZnP2ixTe0IpXSKt2DWw,Three Kings Tattoo - New York,43,4.5,$$
23,UTVQSaN9biidPPJFWC74PA,Zero Tattoo,1,5.0,$$
24,rxNxE1cep4fjZu7tAanG7A,Bang Bang Tattoos,99,3.5,$$$$
25,ZWVlomGjQpTmt22cFPvmzQ,Hustlers Parlour,45,4.0,$$
26,5jmQzSPkxycw1HcYGgHZxQ,Inkstop Tattoo,53,4.0,$$
27,gROazePZ8b8VIKauW_m2uQ,Silver Image,89,4.5,$
28,ini7sksMJJ9CMwY-Y4HvCw,Triple Diamond Tattoo,69,5.0,$$
29,OMxYadSwAsHnRfU5q1S83Q,Lil Baby’s Bushwick,3,5.0,
30,djVoWat557Vh1ekp2zSADw,Magic Tattoo,1,5.0,
31,oCBmOf0HfPl7aZ3LC6YoSQ,Grandview Tattoo,8,5.0,
32,b0CV2Nn2MNjxGkPn4R-3Vw,EDxotic Tattoos,3,5.0,$$
33,201moyv2x3kdmSwPBt0GsA,West 4 Tattoo,150,4.0,$$$
34,fDmAJ38_S5Ftwa5ib_PkCA,Village Moon Tattoo & Body Piercing,27,2.5,$$$
35,6S5SICQvahShx34AARZwcw,10 Thousand Foxes Tattoo,8,5.0,
36,RTt5o0KObYfr1EZQh-jg7g,Electric Anvil Tattoo,60,4.5,$$
37,i8Gza-rsS_vXZYSyrEx1Ew,Sacred Tattoo NYC,190,4.5,$$
38,ZOL31YCDLuByZFUtwCRakA,Skin Design Tattoo,21,5.0,$$
39,nSatMAHZy-wNwRwsU7T27Q,Flyrite Tattoo,133,4.5,$$
40,XAvPTy00tELql_8DYt3SBA,Born 4 INK,27,4.5,$$
41,MMiPWx2wOnEQA6nXTvYFQQ,Saved Tattoo,77,4.5,$$$
42,vNTJNW-iJ62jOn9Fuoyl7A,Diamond Tattoos,36,4.5,$$
43,WRZP9NYHJOklMMwJ53_bHg,Red Scorpion Tattoo & Piercing,2,5.0,$$
44,i1cogMezv1VoQTqKKiAyBQ,Majestic Tattoo NYC,28,4.5,$$
45,iV00twlNV_qhYzLqKTncNw,Vestige Tattoo Studio,6,5.0,
46,Uoss76Prok0XCbUxJprkWA,Red Needle Tattoo,1,5.0,
47,GtbINQfGMzoAXOFFS-pAsg,Kings Avenue Tattoo,128,4.5,$$
48,-ObqRngXrgaqjv-wqiLC0w,Evil and Love Tattoo,11,5.0,
